# slug,chinese_name,english_name,scientific_name,wikipedia_page
black_browed_reed_warbler,"黑眉苇莺","Black-browed Reed Warbler","Acrocephalus bistrigiceps",Black-browed_Reed_Warbler
black_bulbul,"黑短脚鹎","Black Bulbul","Hypsipetes leucocephalus",Black_Bulbul
black_capped_bulbul,"黑冠黄鹎","Black-capped Bulbul","Rubigula flaviventris",Black-capped_Bulbul
black_drongo,"黑卷尾","Black Drongo","Dicrurus macrocercus",Black_Drongo
black_eagle,"林雕","Black Eagle","Ictinaetus malaiensis",Black_Eagle
black_hooded_oriole,"黑头黄鹂","Black-hooded Oriole","Oriolus xanthornus",Black-hooded_Oriole
black_throated_laughingthrush,"黑喉噪鹛","Black-throated Laughingthrush","Pterorhinus chinensis",Black-throated_Laughingthrush
blue_bearded_bee_eater,"蓝须夜蜂虎","Blue-bearded Bee Eater","Nyctyornis athertoni",Blue-bearded_Bee_Eater
blue_eared_barbet,"蓝耳拟啄木鸟","Blue-eared Barbet","Psilopogon duvaucelii",Blue-eared_Barbet
blue_naped_pitta,"蓝枕八色鸫","Blue-naped Pitta","Hydrornis nipalensis",Blue-naped_Pitta
blue_rock_thrush,"蓝矶鸫","Blue Rock Thrush","Monticola solitarius",Blue_Rock_Thrush
blue_throated_barbet,"蓝喉拟啄木鸟","Blue-throated Barbet","Psilopogon asiaticus",Blue-throated_Barbet
blue_whistling_thrush,"紫啸鸫","Blue Whistling Thrush","Myophonus caeruleus",Blue_Whistling_Thrush
blue_winged_laughingthrush,"蓝翅噪鹛","Blue-winged Laughingthrush","Trochalopteron squamatum",Blue-winged_Laughingthrush
blue_winged_leafbird,"蓝翅叶鹎","Blue-winged Leafbird","Chloropsis cochinchinensis",Blue-winged_Leafbird
bluethroat,"蓝喉歌鸲","Bluethroat","Luscinia svecica",Bluethroat
bronzed_drongo,"古铜色卷尾","Bronzed Drongo","Dicrurus aeneus",Bronzed_Drongo
brown_boobook,"鹰鸮","Brown Boobook","Ninox scutulata",Brown_Boobook
brown_cheeked_fulvetta,"褐脸雀鹛","Brown-cheeked Fulvetta","Alcippe poioicephala",Brown-cheeked_Fulvetta
brown_flanked_bush_warbler,"强脚树莺","Brown-flanked Bush Warbler","Horornis fortipes",Brown-flanked_Bush_Warbler
buff_barred_warbler,"橙斑翅柳莺","Buff-barred Warbler","Phylloscopus pulcher",Buff-barred_Warbler
buff_breasted_babbler,"棕胸雅鹛","Buff-breasted Babbler","Pellorneum tickelli",Buff-breasted_Babbler
buff_chested_babbler,"黄喉穗鹛","Buff-chested Babbler","Cyanoderma ambiguum",Buff-chested_Babbler
cattle_egret,"牛背鹭","Cattle Egret","Bubulcus coromandus",Cattle_Egret
chestnut_bellied_rock_thrush,"栗腹矶鸫","Chestnut-bellied Rock Thrush","Monticola rufiventris",Chestnut-bellied_Rock_Thrush
chinese_bamboo_partridge,"灰胸竹鸡","Chinese Bamboo Partridge","Bambusicola thoracicus",Chinese_Bamboo_Partridge
citrine_wagtail,"黄头鹡鸰","Citrine Wagtail","Motacilla citreola",Citrine_Wagtail
collared_falconet,"红腿小隼","Collared Falconet","Microhierax caerulescens",Collared_Falconet
collared_owlet,"领鸺鹠","Collared Owlet","Glaucidium brodiei",Collared_Owlet
